Lines,Lon,VehicleNumber,Time,Lat,Brigade,download_id
20,20.972681,3809,2024-01-22 20:43:00,52.2353,011,1
20,20.972706,3810,2024-01-22 16:35:09,52.232494,3,1
20,21.02015,3812,2024-01-22 20:42:58,52.26612,2,1
20,21.002054,3813,2024-01-22 20:42:57,52.29059,7,1
20,20.971533,3814,2024-01-22 19:27:11,52.231873,010,1
73,20.976831,3817,2024-01-22 20:42:59,52.26681,6,1
20,20.973108,3818,2024-01-22 20:42:57,52.23199,1,1
73,20.971869,3819,2024-01-22 19:25:17,52.231834,2,1
73,20.96868,3820,2024-01-22 20:43:02,52.23167,5,1
20,20.924461,3821,2024-01-22 20:42:59,52.24731,7,1
20,21.003855,3822,2024-01-22 20:42:56,52.289,4,1
20,21.030897,3823,2024-01-22 20:43:00,52.25312,012,1
6,21.029287,3825,2024-01-22 20:43:00,52.256588,2,1
73,21.05579,3827,2024-01-22 20:42:59,52.256966,3,1
73,21.053701,3829,2024-01-22 18:19:07,52.255627,09,1
73,21.053604,3830,2024-01-22 20:31:32,52.256073,1,1
28,20.932875,4001,2024-01-22 19:55:26,52.298622,8,1
28,20.931326,4002,2024-01-22 19:36:13,52.298855,011,1
6,20.93213,4004,2024-01-22 20:42:09,52.2983,011,1
28,21.002878,4005,2024-01-22 20:42:58,52.258816,012,1
6,20.932392,4006,2024-01-22 19:27:42,52.298218,6,1
15,20.932922,4007,2024-01-22 20:35:18,52.298813,3,1
28,21.049911,4008,2024-01-22 20:42:47,52.25291,6,1
28,20.932655,4011,2024-01-22 19:50:22,52.298454,7,1
18,20.932064,4012,2024-01-22 20:42:28,52.298264,6,1
28,20.94518,4014,2024-01-22 20:43:01,52.2716,3,1
6,20.949821,4015,2024-01-22 20:42:57,52.290436,7,1
6,20.931507,4016,2024-01-22 18:58:27,52.298996,4,1
22,21.05335,4017,2024-01-22 20:43:02,52.2473,3,1
6,20.934242,4018,2024-01-22 20:42:57,52.298374,011,1
33,20.928572,4102,2024-01-22 20:43:02,52.299892,13,1
17,20.950233,4103,2024-01-22 20:42:58,52.340843,2,1
33,20.971554,4104,2024-01-22 20:42:57,52.264397,4,1
17,20.931192,4105,2024-01-22 19:05:46,52.299603,033,1
17,21.007627,4106,2024-01-22 20:43:00,52.208637,21,1
18,20.929228,4107,2024-01-22 20:42:57,52.30001,011,1
17,20.9862,4108,2024-01-22 20:43:00,52.2505,032,1
22,20.931683,4111,2024-01-22 20:15:58,52.299217,2,1
23,20.931412,4112,2024-01-22 20:43:00,52.29906,2,1
23,20.99735,4113,2024-01-22 20:43:01,52.24311,5,1
4,21.033562,4114,2024-01-22 20:42:58,52.256035,014,1
23,20.931126,4115,2024-01-22 19:14:07,52.299637,1,1
22,21.067066,4116,2024-01-22 20:42:57,52.246326,1,1
23,21.042942,4117,2024-01-22 20:43:01,52.260162,6,1
33,20.982533,4118,2024-01-22 20:42:57,52.2551,018,1
22,20.969616,4201,2024-01-22 20:43:00,52.242325,6,1
17,20.988869,4202,2024-01-22 20:42:44,52.18158,25,1
2,20.929062,4203,2024-01-22 20:43:00,52.299747000000004,3,1
2,20.957111,4205,2024-01-22 20:42:56,52.309677,2,1
2,20.930305,4206,2024-01-22 20:43:00,52.300903,5,1
2,20.937483,4207,2024-01-22 20:43:00,52.30045,1,1
2,20.931475,4208,2024-01-22 18:48:20,52.299625,6,1
2,20.929829,4210,2024-01-22 20:42:58,52.292217,7,1
2,20.95045,4212,2024-01-22 20:42:58,52.341442,4,1
7,21.00023,4214,2024-01-22 19:35:00,52.18698,011,1
17,21.000114,4215,2024-01-22 20:42:59,52.186607,8,1
10,20.9903,4216,2024-01-22 20:42:58,52.2317,8,1
33,21.00022,4217,2024-01-22 19:57:19,52.18668,6,1
76,20.924372,4219,2024-01-22 20:42:59,52.28592,4,1
33,21.002672,4220,2024-01-22 20:42:57,52.20675,14,1
1,20.933313,4221,2024-01-22 20:43:00,52.29871,6,1
10,21.001118,4222,2024-01-22 18:20:10,52.1877,2,1
31,21.0003,4223,2024-01-22 20:43:00,52.18748,04,1
17,21.000006,4224,2024-01-22 18:18:06,52.187283,12,1
10,20.998093,4225,2024-01-22 20:42:59,52.23306,6,1
18,21.000011,4226,2024-01-22 20:38:51,52.186954,10,1
76,20.931458,4228,2024-01-22 18:03:03,52.29906,014,1
